,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
16100　　妊娠期間及び胎児発育に関連する障害　　　　　　　　　　　　　　　　　　,総数,29,29,-,-,-,-,-,-,-,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,13,13,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,16,16,-,-,-,-,-,-,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16200　　出産外傷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9,9,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16300　　周産期に特異的な呼吸障害及び心血管障害　　　　　　　　　　　　　　　　,総数,241,232,7,-,-,-,-,-,2,234,225,7,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236,227,7,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,128,123,4,-,-,-,-,-,1,125,120,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,120,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,113,109,3,-,-,-,-,-,1,109,105,3,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,107,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16400　　周産期に特異的な感染症　　　　　　　　　　　　　　　　　　　　　　　　,総数,29,29,-,-,-,-,-,-,-,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,16,16,-,-,-,-,-,-,-,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,13,13,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16500　　胎児及び新生児の出血性障害及び血液障害　　　　　　　　　　　　　　　　,総数,52,50,1,-,-,-,-,1,-,51,49,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,50,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,26,24,1,-,-,-,-,1,-,25,23,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,24,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,26,26,-,-,-,-,-,-,-,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16600　　その他の周産期に発生した病態　　　　　　　　　　　　　　　　　　　　　,総数,58,50,2,-,-,-,-,4,2,47,41,2,-,-,-,-,2,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,46,2,-,-,-,-,2,2,2,1,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,36,31,1,-,-,-,-,3,1,31,27,1,-,-,-,-,2,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,29,1,-,-,-,-,2,1,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,22,19,1,-,-,-,-,1,1,16,14,1,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,17,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17000　先天奇形，変形及び染色体異常　　　　　　　　　　　　　　　　　　　　　　,総数,1912,1561,26,31,9,-,79,192,23,398,384,-,-,-,-,-,12,2,45,37,-,-,-,-,-,7,1,27,27,-,-,-,-,-,-,-,21,20,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,503,479,-,-,-,-,-,21,3,40,37,-,-,-,-,-,3,-,37,35,-,-,-,-,-,2,-,38,33,-,-,-,-,-,5,-,33,28,-,-,-,-,-,5,-,25,18,-,-,-,-,-,7,-,35,28,-,-,-,-,1,6,-,36,27,1,-,-,-,-,6,2,49,44,-,-,-,-,-,5,-,43,31,-,-,-,-,1,8,3,94,76,1,1,1,-,3,13,-,90,61,1,1,-,-,10,15,2,92,64,1,2,1,-,8,14,3
,男　Ｍ．,878,717,12,11,5,-,29,96,13,181,174,-,-,-,-,-,6,1,21,18,-,-,-,-,-,3,-,12,12,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,227,217,-,-,-,-,-,9,1,20,18,-,-,-,-,-,2,-,17,17,-,-,-,-,-,-,-,20,16,-,-,-,-,-,4,-,20,16,-,-,-,-,-,4,-,12,10,-,-,-,-,-,2,-,18,14,-,-,-,-,-,4,-,25,17,1,-,-,-,-,5,2,19,17,-,-,-,-,-,2,-,22,17,-,-,-,-,-,3,2,54,41,1,1,1,-,3,8,-,43,26,1,-,-,-,8,7,1,41,29,-,2,1,-,2,6,2
,女　Ｆ．,1034,844,14,20,4,-,50,96,10,217,210,-,-,-,-,-,6,1,24,19,-,-,-,-,-,4,1,15,15,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,9,8,-,-,-,-,-,1,-,276,262,-,-,-,-,-,12,2,20,19,-,-,-,-,-,1,-,20,18,-,-,-,-,-,2,-,18,17,-,-,-,-,-,1,-,13,12,-,-,-,-,-,1,-,13,8,-,-,-,-,-,5,-,17,14,-,-,-,-,1,2,-,11,10,-,-,-,-,-,1,-,30,27,-,-,-,-,-,3,-,21,14,-,-,-,-,1,5,1,40,35,-,-,-,-,-,5,-,47,35,-,1,-,-,2,8,1,51,35,1,-,-,-,6,8,1
17100　　神経系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,76,67,-,-,-,-,1,7,1,14,14,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-
,男　Ｍ．,36,31,-,-,-,-,1,4,-,6,6,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,40,36,-,-,-,-,-,3,1,8,8,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
17200　　循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,732,602,5,16,3,-,32,72,5,137,135,-,-,-,-,-,1,1,15,13,-,-,-,-,-,2,-,16,16,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,174,170,-,-,-,-,-,3,1,9,9,-,-,-,-,-,-,-,17,16,-,-,-,-,-,1,-,14,13,-,-,-,-,-,1,-,15,13,-,-,-,-,-,2,-,11,10,-,-,-,-,-,1,-,12,9,-,-,-,-,-,3,-,17,14,1,-,-,-,-,1,1,29,28,-,-,-,-,-,1,-,16,13,-,-,-,-,-,3,-,24,17,-,-,-,-,1,6,-,12,10,-,-,-,-,-,2,-,20,14,-,-,-,-,-,6,-
,男　Ｍ．,324,272,2,3,1,-,5,38,4,66,64,-,-,-,-,-,1,1,9,7,-,-,-,-,-,2,-,7,7,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,85,81,-,-,-,-,-,3,1,5,5,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,11,8,1,-,-,-,-,1,1,13,12,-,-,-,-,-,1,-,10,8,-,-,-,-,-,2,-,14,8,-,-,-,-,1,5,-,3,3,-,-,-,-,-,-,-,8,6,-,-,-,-,-,2,-
,女　Ｆ．,408,330,3,13,2,-,27,34,1,71,71,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,89,89,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,16,16,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,10,9,-,-,-,-,-,1,-,9,7,-,-,-,-,-,2,-,12,8,-,-,-,-,-,4,-
17201　　　心臓の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,459,381,2,8,1,-,13,52,3,85,84,-,-,-,-,-,-,1,11,11,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,110,109,-,-,-,-,-,-,1,7,7,-,-,-,-,-,-,-,14,13,-,-,-,-,-,1,-,14,13,-,-,-,-,-,1,-,13,11,-,-,-,-,-,2,-,9,8,-,-,-,-,-,1,-,10,8,-,-,-,-,-,2,-,14,12,1,-,-,-,-,1,-,26,25,-,-,-,-,-,1,-,15,12,-,-,-,-,-,3,-,19,13,-,-,-,-,1,5,-,10,8,-,-,-,-,-,2,-,17,11,-,-,-,-,-,6,-
,男　Ｍ．,211,177,1,1,-,-,3,27,2,38,37,-,-,-,-,-,-,1,6,6,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,50,49,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,9,7,1,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,10,8,-,-,-,-,-,2,-,12,7,-,-,-,-,1,4,-,2,2,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-
,女　Ｆ．,248,204,1,7,1,-,10,25,1,47,47,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,14,14,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,7,6,-,-,-,-,-,1,-,8,6,-,-,-,-,-,2,-,12,8,-,-,-,-,-,4,-
17202　　　その他の循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　,総数,273,221,3,8,2,-,19,20,2,52,51,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,6,6,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,64,61,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,3,2,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-
,男　Ｍ．,113,95,1,2,1,-,2,11,2,28,27,-,-,-,-,-,1,-,3,1,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,32,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-
,女　Ｆ．,160,126,2,6,1,-,17,9,-,24,24,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,29,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17300　　消化器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,94,81,1,1,-,-,3,8,-,16,15,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,17,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-
