令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
11100　　胃潰瘍及び十二指腸潰瘍　　　　　　　　　　　　　　　　　　　　　　　　,総数,130,88,-,3,1,-,-,35,4,255,197,1,1,-,-,4,49,3,342,278,2,4,2,-,4,52,2,435,370,2,5,2,-,10,48,-,488,415,5,10,3,-,21,37,-,438,372,5,13,3,-,21,25,2,180,137,1,5,4,-,22,13,2,33,24,-,-,-,-,4,5,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,97,65,-,2,-,-,-,27,3,182,141,1,1,-,-,3,33,3,247,194,2,4,2,-,2,43,2,273,231,2,3,1,-,4,33,-,254,221,1,5,1,-,7,20,-,198,176,2,3,1,-,9,8,-,49,43,-,2,1,-,2,2,-,5,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,33,23,-,1,1,-,-,8,1,73,56,-,-,-,-,1,16,-,95,84,-,-,-,-,2,9,-,162,139,-,2,1,-,6,15,-,234,194,4,5,2,-,14,17,-,240,196,3,10,2,-,12,17,2,131,94,1,3,3,-,20,11,2,28,20,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-
11200　　ヘルニア及び腸閉塞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,264,240,1,1,-,-,3,17,2,543,473,6,11,7,-,17,33,3,853,773,2,14,5,-,15,49,-,1488,1360,12,31,20,-,39,42,4,2012,1794,23,51,24,-,70,70,4,1866,1660,18,57,24,-,80,49,2,929,802,10,40,16,-,48,27,2,155,126,3,4,1,-,16,6,-,1,1,-,-,-,-,-,-,-
,男　Ｍ．,193,175,-,1,-,-,3,12,2,353,304,3,9,5,-,15,19,3,551,502,1,8,1,-,8,32,-,868,804,6,18,11,-,19,21,-,966,886,8,14,4,-,27,31,-,690,628,8,19,10,-,17,18,-,221,198,1,4,2,-,8,9,1,22,18,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,71,65,1,-,-,-,-,5,-,190,169,3,2,2,-,2,14,-,302,271,1,6,4,-,7,17,-,620,556,6,13,9,-,20,21,4,1046,908,15,37,20,-,43,39,4,1176,1032,10,38,14,-,63,31,2,708,604,9,36,14,-,40,18,1,133,108,3,4,1,-,14,4,-,1,1,-,-,-,-,-,-,-
11300　　肝疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1820,1357,12,8,4,-,39,383,21,2442,1915,29,16,8,-,72,397,13,2450,1985,13,28,16,-,84,325,15,2628,2085,34,56,21,-,159,285,9,2162,1701,30,58,24,-,160,200,13,1204,883,25,63,16,-,131,90,12,365,245,6,22,3,-,58,29,5,51,28,1,3,-,-,13,5,1,4,2,-,-,-,-,-,-,2
,男　Ｍ．,1428,1022,10,7,3,-,31,340,18,1727,1314,24,11,6,-,46,321,11,1586,1262,9,19,11,-,44,241,11,1460,1168,24,26,10,-,63,177,2,1044,831,9,25,10,-,59,111,9,450,335,8,17,5,-,45,42,3,101,69,3,3,1,-,11,11,4,12,9,-,-,-,-,3,-,-,4,2,-,-,-,-,-,-,2
,女　Ｆ．,392,335,2,1,1,-,8,43,3,715,601,5,5,2,-,26,76,2,864,723,4,9,5,-,40,84,4,1168,917,10,30,11,-,96,108,7,1118,870,21,33,14,-,101,89,4,754,548,17,46,11,-,86,48,9,264,176,3,19,2,-,47,18,1,39,19,1,3,-,-,10,5,1,-,-,-,-,-,-,-,-,-
11301　　　肝硬変（アルコール性を除く）　　　　　　　　　　　　　　　　　　　　,総数,733,571,8,2,1,-,20,120,12,1127,901,18,5,2,-,41,154,8,1238,1023,9,12,8,-,53,134,7,1538,1205,21,34,15,-,112,161,5,1293,998,22,36,16,-,102,127,8,660,453,13,36,8,-,90,59,9,148,97,4,8,1,-,21,16,2,12,8,-,-,-,-,3,1,-,1,-,-,-,-,-,-,-,1
,男　Ｍ．,499,368,6,1,-,-,16,98,10,670,517,14,4,2,-,22,106,7,643,524,5,5,3,-,23,83,3,707,561,15,11,5,-,35,84,1,528,411,4,13,6,-,29,65,6,216,149,4,11,2,-,28,22,2,40,25,1,2,-,-,5,5,2,5,4,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,234,203,2,1,1,-,4,22,2,457,384,4,1,-,-,19,48,1,595,499,4,7,5,-,30,51,4,831,644,6,23,10,-,77,77,4,765,587,18,23,10,-,73,62,2,444,304,9,25,6,-,62,37,7,108,72,3,6,1,-,16,11,-,7,4,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
11302　　　その他の肝疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1087,786,4,6,3,-,19,263,9,1315,1014,11,11,6,-,31,243,5,1212,962,4,16,8,-,31,191,8,1090,880,13,22,6,-,47,124,4,869,703,8,22,8,-,58,73,5,544,430,12,27,8,-,41,31,3,217,148,2,14,2,-,37,13,3,39,20,1,3,-,-,10,4,1,3,2,-,-,-,-,-,-,1
,男　Ｍ．,929,654,4,6,3,-,15,242,8,1057,797,10,7,4,-,24,215,4,943,738,4,14,8,-,21,158,8,753,607,9,15,5,-,28,93,1,516,420,5,12,4,-,30,46,3,234,186,4,6,3,-,17,20,1,61,44,2,1,1,-,6,6,2,7,5,-,-,-,-,2,-,-,3,2,-,-,-,-,-,-,1
,女　Ｆ．,158,132,-,-,-,-,4,21,1,258,217,1,4,2,-,7,28,1,269,224,-,2,-,-,10,33,-,337,273,4,7,1,-,19,31,3,353,283,3,10,4,-,28,27,2,310,244,8,21,5,-,24,11,2,156,104,-,13,1,-,31,7,1,32,15,1,3,-,-,8,4,1,-,-,-,-,-,-,-,-,-
11400　　その他の消化器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,960,760,-,10,5,-,8,175,7,2022,1681,16,15,3,-,34,268,8,3288,2852,23,37,20,-,68,293,15,4945,4306,38,99,43,-,156,320,26,6474,5625,72,145,58,-,274,336,22,6257,5278,71,219,75,-,388,263,38,3409,2678,39,166,57,-,305,198,23,676,485,7,52,13,-,77,50,5,2,1,-,-,-,-,-,-,1
,男　Ｍ．,700,530,-,7,3,-,6,150,7,1384,1119,13,12,2,-,23,209,8,2074,1787,14,23,15,-,40,196,14,2811,2467,15,43,18,-,83,193,10,3030,2662,35,55,21,-,98,173,7,2145,1843,28,63,23,-,102,100,9,789,678,7,16,5,-,46,38,4,104,84,-,6,2,-,7,7,-,2,1,-,-,-,-,-,-,1
,女　Ｆ．,260,230,-,3,2,-,2,25,-,638,562,3,3,1,-,11,59,-,1214,1065,9,14,5,-,28,97,1,2134,1839,23,56,25,-,73,127,16,3444,2963,37,90,37,-,176,163,15,4112,3435,43,156,52,-,286,163,29,2620,2000,32,150,52,-,259,160,19,572,401,7,46,11,-,70,43,5,-,-,-,-,-,-,-,-,-
12000　皮膚及び皮下組織の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,124,113,-,1,-,-,2,8,-,253,215,7,2,1,-,14,15,-,366,311,2,6,1,-,22,24,1,634,525,10,13,4,-,32,51,3,870,690,7,18,4,-,93,57,5,858,643,11,38,13,-,103,55,8,473,322,4,21,6,-,77,46,3,116,66,1,4,1,-,26,17,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,81,70,-,1,-,-,2,8,-,159,131,5,1,1,-,13,9,-,220,187,1,4,1,-,15,12,1,313,262,3,8,2,-,16,22,2,337,272,3,6,-,-,37,17,2,271,223,5,7,3,-,22,13,1,95,67,1,2,2,-,19,5,1,15,11,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,43,43,-,-,-,-,-,-,-,94,84,2,1,-,-,1,6,-,146,124,1,2,-,-,7,12,-,321,263,7,5,2,-,16,29,1,533,418,4,12,4,-,56,40,3,587,420,6,31,10,-,81,42,7,378,255,3,19,4,-,58,41,2,101,55,1,4,1,-,24,16,1,-,-,-,-,-,-,-,-,-
13000　筋骨格系及び結合組織の疾患　　　　　　　　　　　　　　　　　　　　　　　,総数,491,409,8,2,-,-,20,50,2,1054,896,11,12,4,-,44,89,2,1641,1394,13,26,10,-,77,123,8,2257,1806,37,68,29,-,140,191,15,2361,1782,45,92,37,-,232,192,18,1771,1158,35,108,39,-,280,176,14,683,349,20,69,16,-,152,89,4,130,47,3,14,2,-,36,28,2,2,-,-,-,-,-,-,-,2
,男　Ｍ．,264,226,4,1,-,-,10,21,2,524,456,7,3,1,-,18,39,1,808,713,5,6,3,-,32,50,2,1004,840,14,25,11,-,45,74,6,942,759,19,23,13,-,70,66,5,553,414,7,22,10,-,55,51,4,155,106,4,12,4,-,21,11,1,15,6,-,-,-,-,3,5,1,1,-,-,-,-,-,-,-,1
,女　Ｆ．,227,183,4,1,-,-,10,29,-,530,440,4,9,3,-,26,50,1,833,681,8,20,7,-,45,73,6,1253,966,23,43,18,-,95,117,9,1419,1023,26,69,24,-,162,126,13,1218,744,28,86,29,-,225,125,10,528,243,16,57,12,-,131,78,3,115,41,3,14,2,-,33,23,1,1,-,-,-,-,-,-,-,1
14000　腎尿路生殖器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1263,1045,29,10,2,-,43,127,9,2871,2403,46,50,20,-,112,251,9,4914,4126,101,109,44,-,224,333,21,8727,7223,189,241,99,-,447,581,46,12331,9829,263,480,172,-,920,762,77,12227,9257,265,587,214,-,1190,826,102,5604,3978,123,369,129,-,688,398,48,988,632,17,76,26,-,160,89,14,1,-,-,-,-,-,-,-,1
,男　Ｍ．,837,679,18,6,1,-,35,91,8,1898,1574,31,32,13,-,75,179,7,3118,2622,57,70,21,-,126,228,15,4873,4049,95,106,39,-,227,371,25,6042,4856,143,206,77,-,377,426,34,4608,3516,100,174,56,-,397,382,39,1519,1082,34,87,24,-,173,133,10,179,121,6,9,1,-,19,22,2,1,-,-,-,-,-,-,-,1
,女　Ｆ．,426,366,11,4,1,-,8,36,1,973,829,15,18,7,-,37,72,2,1796,1504,44,39,23,-,98,105,6,3854,3174,94,135,60,-,220,210,21,6289,4973,120,274,95,-,543,336,43,7619,5741,165,413,158,-,793,444,63,4085,2896,89,282,105,-,515,265,38,809,511,11,67,25,-,141,67,12,-,-,-,-,-,-,-,-,-
14100　　糸球体疾患及び腎尿細管間質性疾患　　　　　　　　　　　　　　　　　　　,総数,142,121,3,1,-,-,3,14,-,318,273,7,4,1,-,11,21,2,552,489,5,14,5,-,21,19,4,1033,897,14,22,11,-,51,45,4,1482,1229,26,48,16,-,99,69,11,1434,1157,27,59,26,-,142,43,6,655,508,9,37,19,-,73,27,1,128,93,4,3,2,-,11,14,3,1,-,-,-,-,-,-,-,1
,男　Ｍ．,78,66,1,-,-,-,3,8,-,181,154,5,1,1,-,10,10,1,309,273,1,10,4,-,10,12,3,492,429,6,10,4,-,21,26,-,593,498,11,14,4,-,26,38,6,417,342,7,13,5,-,36,17,2,119,91,-,6,1,-,13,9,-,14,11,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,64,55,2,1,-,-,-,6,-,137,119,2,3,-,-,1,11,1,243,216,4,4,1,-,11,7,1,541,468,8,12,7,-,30,19,4,889,731,15,34,12,-,73,31,5,1017,815,20,46,21,-,106,26,4,536,417,9,31,18,-,60,18,1,114,82,3,2,2,-,11,13,3,-,-,-,-,-,-,-,-,-
14200　　腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,851,692,25,8,2,-,32,86,8,1857,1535,34,33,12,-,74,175,6,3172,2594,82,71,30,-,159,251,15,5310,4243,153,155,55,-,297,434,28,7137,5377,204,306,102,-,635,566,49,6875,4861,202,356,127,-,742,635,79,2968,1858,92,233,85,-,454,298,33,489,278,9,40,15,-,100,54,8,-,-,-,-,-,-,-,-,-
,男　Ｍ．,616,498,17,6,1,-,25,63,7,1303,1070,23,24,8,-,47,134,5,2149,1779,48,49,15,-,90,172,11,3259,2636,80,69,18,-,171,288,15,3876,2977,122,136,48,-,286,333,22,2994,2175,88,120,43,-,276,305,30,970,635,32,63,20,-,129,103,8,111,69,5,4,-,-,14,17,2,-,-,-,-,-,-,-,-,-
,女　Ｆ．,235,194,8,2,1,-,7,23,1,554,465,11,9,4,-,27,41,1,1023,815,34,22,15,-,69,79,4,2051,1607,73,86,37,-,126,146,13,3261,2400,82,170,54,-,349,233,27,3881,2686,114,236,84,-,466,330,49,1998,1223,60,170,65,-,325,195,25,378,209,4,36,15,-,86,37,6,-,-,-,-,-,-,-,-,-
14201　　　急性腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,71,60,1,1,1,-,4,5,-,172,162,-,1,-,-,2,7,-,301,269,7,8,3,-,5,11,1,547,496,9,10,3,-,16,16,-,722,653,6,11,6,-,32,19,1,739,647,9,18,9,-,35,26,4,355,289,14,7,4,-,21,20,4,62,53,1,1,1,-,5,1,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,52,47,1,-,-,-,1,3,-,119,111,-,1,-,-,-,7,-,212,191,5,5,-,-,2,8,1,334,309,3,5,2,-,8,9,-,370,332,3,8,4,-,13,13,1,311,276,2,6,5,-,11,15,1,99,79,5,1,1,-,6,7,1,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,19,13,-,1,1,-,3,2,-,53,51,-,-,-,-,2,-,-,89,78,2,3,3,-,3,3,-,213,187,6,5,1,-,8,7,-,352,321,3,3,2,-,19,6,-,428,371,7,12,4,-,24,11,3,256,210,9,6,3,-,15,13,3,47,38,1,1,1,-,5,1,1,-,-,-,-,-,-,-,-,-
14202　　　慢性腎臓病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,680,563,22,4,1,-,20,63,8,1452,1196,32,26,10,-,60,136,2,2469,2016,65,56,23,-,133,187,12,4023,3171,130,110,38,-,236,354,22,5296,3908,172,236,76,-,491,451,38,5009,3415,168,277,98,-,576,509,64,2056,1207,64,176,66,-,353,232,24,335,168,6,32,11,-,79,45,5,-,-,-,-,-,-,-,-,-
,男　Ｍ．,484,397,14,3,1,-,17,46,7,1017,832,23,17,6,-,40,103,2,1673,1375,40,41,14,-,79,129,9,2485,1987,69,48,10,-,135,234,12,2898,2179,105,107,39,-,225,267,15,2213,1560,71,93,28,-,225,239,25,700,436,25,49,16,-,106,79,5,76,40,3,4,-,-,12,16,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,196,166,8,1,-,-,3,17,1,435,364,9,9,4,-,20,33,-,796,641,25,15,9,-,54,58,3,1538,1184,61,62,28,-,101,120,10,2398,1729,67,129,37,-,266,184,23,2796,1855,97,184,70,-,351,270,39,1356,771,39,127,50,-,247,153,19,259,128,3,28,11,-,67,29,4,-,-,-,-,-,-,-,-,-
14203　　　詳細不明の腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,100,69,2,3,-,-,8,18,-,233,177,2,6,2,-,12,32,4,402,309,10,7,4,-,21,53,2,740,576,14,35,14,-,45,64,6,1119,816,26,59,20,-,112,96,10,1127,799,25,61,20,-,131,100,11,557,362,14,50,15,-,80,46,5,92,57,2,7,3,-,16,8,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,80,54,2,3,-,-,7,14,-,167,127,-,6,2,-,7,24,3,264,213,3,3,1,-,9,35,1,440,340,8,16,6,-,28,45,3,608,466,14,21,5,-,48,53,6,470,339,15,21,10,-,40,51,4,171,120,2,13,3,-,17,17,2,20,14,2,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,20,15,-,-,-,-,1,4,-,66,50,2,-,-,-,5,8,1,138,96,7,4,3,-,12,18,1,300,236,6,19,8,-,17,19,3,511,350,12,38,15,-,64,43,4,657,460,10,40,10,-,91,49,7,386,242,12,37,12,-,63,29,3,72,43,-,7,3,-,14,7,1,-,-,-,-,-,-,-,-,-
14300　　その他の腎尿路生殖器系の疾患　　　　　　　　　　　　　　　　　　　　　,総数,270,232,1,1,-,-,8,27,1,696,595,5,13,7,-,27,55,1,1190,1043,14,24,9,-,44,63,2,2384,2083,22,64,33,-,99,102,14,3712,3223,33,126,54,-,186,127,17,3918,3239,36,172,61,-,306,148,17,1981,1612,22,99,25,-,161,73,14,371,261,4,33,9,-,49,21,3,-,-,-,-,-,-,-,-,-
,男　Ｍ．,143,115,-,-,-,-,7,20,1,414,350,3,7,4,-,18,35,1,660,570,8,11,2,-,26,44,1,1122,984,9,27,17,-,35,57,10,1573,1381,10,56,25,-,65,55,6,1197,999,5,41,8,-,85,60,7,430,356,2,18,3,-,31,21,2,54,41,-,4,1,-,5,4,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,127,117,1,1,-,-,1,7,-,282,245,2,6,3,-,9,20,-,530,473,6,13,7,-,18,19,1,1262,1099,13,37,16,-,64,45,4,2139,1842,23,70,29,-,121,72,11,2721,2240,31,131,53,-,221,88,10,1551,1256,20,81,22,-,130,52,12,317,220,4,29,8,-,44,17,3,-,-,-,-,-,-,-,-,-
15000　妊娠，分娩及び産じょく　　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・,・
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16000　周産期に発生した病態　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16100　　妊娠期間及び胎児発育に関連する障害　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16200　　出産外傷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16300　　周産期に特異的な呼吸障害及び心血管障害　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16400　　周産期に特異的な感染症　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16500　　胎児及び新生児の出血性障害及び血液障害　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16600　　その他の周産期に発生した病態　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17000　先天奇形，変形及び染色体異常　　　　　　　　　　　　　　　　　　　　　　,総数,96,68,4,2,2,-,9,10,3,99,81,3,2,1,-,4,8,1,135,115,3,3,2,-,5,9,-,143,104,4,3,-,-,8,22,2,147,114,3,5,1,-,9,15,1,125,84,3,7,1,-,14,15,2,44,29,2,5,-,-,5,2,1,8,5,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,51,32,-,1,1,-,7,9,2,48,39,3,1,1,-,1,4,-,66,58,2,1,-,-,2,3,-,66,50,2,1,-,-,3,9,1,54,43,2,1,-,-,1,7,-,42,31,-,2,1,-,2,6,1,11,7,-,1,-,-,-,2,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
