令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,男　Ｍ．,7,5,-,-,-,-,1,1,-,2,1,-,-,-,-,-,1,-,6,3,-,-,-,-,1,2,-,4,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,総数,358,325,4,-,-,-,4,23,2,695,612,8,4,3,-,24,46,1,1165,1003,13,14,5,-,38,94,3,1573,1349,14,21,9,-,64,120,5,1682,1392,23,36,12,-,101,119,11,1123,936,14,34,9,-,65,67,7,425,326,6,19,6,-,36,34,4,61,43,-,5,3,-,8,5,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,204,190,2,-,-,-,-,12,-,387,349,4,2,2,-,13,19,-,671,598,8,6,3,-,12,45,2,797,699,6,10,3,-,22,58,2,744,657,8,11,3,-,20,46,2,432,387,3,9,2,-,19,13,1,119,105,1,4,1,-,6,3,-,12,9,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,154,135,2,-,-,-,4,11,2,308,263,4,2,1,-,11,27,1,494,405,5,8,2,-,26,49,1,776,650,8,11,6,-,42,62,3,938,735,15,25,9,-,81,73,9,691,549,11,25,7,-,46,54,6,306,221,5,15,5,-,30,31,4,49,34,-,4,3,-,7,4,-,-,-,-,-,-,-,-,-,-
02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,28114,21422,212,67,27,-,1008,5256,149,51679,38536,417,195,101,-,2493,9743,295,69169,50690,635,408,159,-,4022,12978,436,76209,54151,804,750,279,-,5954,13929,621,67810,46419,952,1272,429,-,7207,11259,701,43966,28494,706,1339,427,-,6219,6616,592,14294,8449,233,621,202,-,2577,2192,222,1845,940,32,111,31,-,386,340,36,17,11,1,-,-,-,1,-,4
,男　Ｍ．,18020,13923,117,47,17,-,621,3217,95,34059,25680,279,119,55,-,1527,6264,190,44889,33271,417,249,89,-,2408,8275,269,46603,33548,513,419,164,-,3133,8679,311,37106,25955,517,611,206,-,3336,6394,293,19826,13258,304,498,169,-,2376,3149,241,4838,2989,71,162,54,-,772,786,58,413,236,5,24,4,-,67,75,6,12,9,1,-,-,-,-,-,2
,女　Ｆ．,10094,7499,95,20,10,-,387,2039,54,17620,12856,138,76,46,-,966,3479,105,24280,17419,218,159,70,-,1614,4703,167,29606,20603,291,331,115,-,2821,5250,310,30704,20464,435,661,223,-,3871,4865,408,24140,15236,402,841,258,-,3843,3467,351,9456,5460,162,459,148,-,1805,1406,164,1432,704,27,87,27,-,319,265,30,5,2,-,-,-,-,1,-,2
02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,27566,20995,201,63,25,-,979,5181,147,50545,37635,406,178,90,-,2426,9607,293,67336,49269,616,376,147,-,3886,12762,427,73569,52144,779,694,257,-,5726,13619,607,64697,44145,913,1181,400,-,6856,10932,670,41486,26822,663,1197,375,-,5859,6381,564,13343,7873,210,557,173,-,2404,2088,211,1715,870,29,101,29,-,360,323,32,16,10,1,-,-,-,1,-,4
,男　Ｍ．,17630,13622,109,43,15,-,602,3160,94,33280,25047,274,114,53,-,1489,6167,189,43676,32336,404,230,85,-,2329,8115,262,44970,32273,495,392,150,-,3023,8483,304,35448,24702,496,581,196,-,3190,6201,278,18822,12554,290,457,159,-,2256,3037,228,4560,2800,66,153,48,-,729,759,53,392,226,5,22,4,-,63,71,5,11,8,1,-,-,-,-,-,2
